Given Name,Last Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Michael,Trout,LAA,134,600,45,110,104,11,18.30%,20.00%,0.353,0.298,0.291,0.438,0.645,0.436,0.451,177,7.1,65.9,-0.3,8.4,10155
Alex,Bregman,HOU,156,690,41,122,112,5,17.20%,12.00%,0.296,0.281,0.296,0.423,0.592,0.418,0.369,167,-2.1,57.3,4.8,8.4,17678
Christian,Yelich,MIL,130,580,44,100,97,30,13.80%,20.30%,0.342,0.355,0.329,0.429,0.671,0.442,0.424,174,8.5,65.2,-3.9,7.8,11477
Cody,Bellinger,LAD,156,660,47,121,115,15,14.40%,16.40%,0.324,0.302,0.305,0.406,0.629,0.415,0.424,161,1.4,54.2,3.4,7.7,15998
Marcus,Semien,OAK,162,747,33,123,92,10,11.60%,13.70%,0.237,0.294,0.285,0.369,0.522,0.373,0.353,138,1.7,37.7,14.1,7.6,12533
Anthony,Rendon,WSN,146,646,34,117,126,5,12.40%,13.30%,0.279,0.323,0.319,0.412,0.598,0.413,0.412,155,0.4,47.1,4.2,7,12861
Ketel,Marte,ARI,144,628,32,97,92,10,8.40%,13.70%,0.264,0.342,0.329,0.389,0.592,0.405,0.373,149,4.2,45,6.7,7,13613
Xander,Bogaerts,BOS,155,698,33,110,117,4,10.90%,17.50%,0.246,0.338,0.309,0.384,0.555,0.39,0.349,141,1,37.5,8.1,6.8,12161
Mookie,Betts,BOS,150,706,29,135,80,16,13.70%,14.30%,0.229,0.309,0.295,0.391,0.524,0.38,0.408,135,5.6,36.8,6.3,6.6,13611
George,Springer,HOU,122,556,39,96,96,6,12.10%,20.30%,0.299,0.305,0.292,0.383,0.591,0.4,0.39,155,0.9,40.1,6.4,6.4,12856
Matt,Chapman,OAK,156,670,36,102,91,1,10.90%,21.90%,0.257,0.27,0.249,0.342,0.506,0.354,0.352,125,0.9,22.6,17.1,6.1,16505
Nolan,Arenado,COL,155,662,41,102,118,3,9.40%,14.00%,0.269,0.312,0.315,0.379,0.583,0.392,0.341,130,2.5,28.3,12.5,6.1,9777
Trevor,Story,COL,145,656,35,111,85,23,8.80%,26.50%,0.26,0.361,0.294,0.363,0.554,0.38,0.337,122,5.9,25,15.1,6,12564
Rafael,Devers,BOS,156,702,32,129,115,8,6.80%,17.00%,0.244,0.339,0.311,0.361,0.555,0.377,0.359,132,2.3,31.3,4.9,5.9,17350
J.T.,Realmuto,PHI,145,593,25,92,83,9,6.90%,20.70%,0.217,0.309,0.275,0.328,0.493,0.34,0.338,107,5.4,11.1,27.8,5.7,11739
Yoan,Moncada,CHW,132,559,25,83,79,10,7.20%,27.50%,0.233,0.406,0.315,0.367,0.548,0.379,0.354,139,3.5,31.5,6.1,5.6,17232
Ronald,Acuna,ATL,156,715,41,127,101,37,10.60%,26.30%,0.238,0.337,0.28,0.365,0.518,0.369,0.39,125,8.1,32.1,1.5,5.5,18401
DJ,LeMahieu,NYY,145,655,26,109,102,5,7.00%,13.70%,0.191,0.349,0.327,0.375,0.518,0.375,0.366,136,-0.8,29.4,2.8,5.4,9874
Yasmani,Grandal,MIL,153,632,28,79,77,5,17.20%,22.00%,0.222,0.279,0.246,0.38,0.468,0.361,0.363,121,-5.1,12.5,20.6,5.2,11368
Pete,Alonso,NYM,161,693,53,103,120,1,10.40%,26.40%,0.323,0.28,0.26,0.358,0.583,0.384,0.373,144,-2.2,37.9,-9.7,4.9,19251
Juan,Soto,WSN,150,659,34,110,110,12,16.40%,20.00%,0.266,0.312,0.282,0.401,0.548,0.394,0.407,143,-0.5,36.5,-7.5,4.9,20123
Josh,Donaldson,ATL,155,659,37,96,94,4,15.20%,23.50%,0.262,0.292,0.259,0.379,0.521,0.377,0.383,131,-3,24,4.5,4.9,5038
Max,Muncy,LAD,141,589,35,101,98,4,15.30%,25.30%,0.265,0.283,0.251,0.374,0.515,0.372,0.379,133,4.8,30.3,-0.8,4.7,13301
Kris,Bryant,CHC,147,634,31,108,77,4,11.70%,22.90%,0.239,0.331,0.282,0.382,0.521,0.379,0.346,134,3.8,31.9,-4.1,4.7,15429
Carlos,Santana,CLE,158,686,34,110,93,4,15.70%,15.70%,0.234,0.293,0.281,0.397,0.515,0.38,0.366,138,1.5,35.2,-11.1,4.7,2396
Francisco,Lindor,CLE,143,654,32,101,74,22,7.00%,15.00%,0.234,0.291,0.284,0.335,0.518,0.349,0.328,118,-2,13,12.1,4.7,12916
Jeff,McNeil,NYM,133,567,23,83,75,5,6.20%,13.20%,0.214,0.337,0.318,0.384,0.531,0.384,0.347,144,-2.9,30.1,-0.8,4.6,15362
Ozzie,Albies,ATL,160,702,24,102,86,15,7.70%,16.00%,0.205,0.325,0.295,0.352,0.5,0.354,0.346,116,4.8,19.2,4.6,4.5,16556
